"ISO2","Continent","time","GDP","logGDP","cumGDP","lagGDP"
"CO","SA",2005,9285.5268689301,9.13621221627279,26973.4916780741,9005.0202880391
"CO","SA",2006,9758.8775467572,9.1859326673383,36732.3692248313,9285.5268689301
"CO","SA",2007,10278.2681220511,9.23778705419879,47010.6373468824,9758.8775467572
"CO","SA",2008,10488.5143529248,9.2580360662819,57499.1516998072,10278.2681220511
"CO","SA",2009,10510.5437283624,9.26013419691554,68009.6954281696,10488.5143529248
"CO","SA",2010,10776.8895645818,9.28515926521964,78786.5849927514,10510.5437283624
"CO","SA",2011,11332.3419836931,9.33541603907721,90118.9269764445,10776.8895645818
"CO","SA",2012,11636.5520748801,9.36190646390727,101755.479051325,11332.3419836931
"CR","AN",2003,9972.3846163106,9.20757501352567,9972.3846163106,NA
"CR","AN",2004,10213.0484671228,9.23142144319719,20185.4330834334,9972.3846163106
"CR","AN",2005,10629.5045683877,9.2713888633249,30814.9376518211,10213.0484671228
"CR","AN",2006,11372.2495599364,9.33893141765289,42187.1872117575,10629.5045683877
"CR","AN",2007,12080.1477824804,9.39931870506302,54267.3349942379,11372.2495599364
"CR","AN",2008,12219.888245682,9.4108200874859,66487.2232399199,12080.1477824804
"CR","AN",2009,11915.142594161,9.3855653570786,78402.3658340809,12219.888245682
"CR","AN",2010,12322.6533991881,9.41919458720873,90725.019233269,11915.142594161
"CR","AN",2011,12693.6014897915,9.44885332578544,103418.620723061,12322.6533991881
"CR","AN",2012,13157.4915669465,9.48474657629643,116576.112290007,12693.6014897915
"CU","AN",2003,12000.5499317507,9.39270775536597,12000.5499317507,NA
"CU","AN",2004,12662.1948179662,9.44637604702,24662.7447497169,12000.5499317507
"CU","AN",2005,14057.2410126864,9.55089291657046,38719.9857624033,12662.1948179662
"CU","AN",2006,15740.7840743435,9.66401033485673,54460.7698367468,14057.2410126864
"CU","AN",2007,16883.0438580301,9.73406507523666,71343.8136947769,15740.7840743435
"CU","AN",2008,17586.3665585277,9.77487925349106,88930.1802533046,16883.0438580301
"CU","AN",2009,17853.112611356,9.78993314799239,106783.292864661,17586.3665585277
"CU","AN",2010,18290.9247939652,9.81416030292597,125074.217658626,17853.112611356
"CU","AN",2011,18796.1925231461,9.84140960294244,143870.410181772,18290.9247939652
"CV","AF",2003,4005.7154634471,8.29547748610636,4005.7154634471,NA
"CV","AF",2004,4352.3088008222,8.37846174208979,8358.0242642693,4005.7154634471
"CV","AF",2005,4603.8339082307,8.4346446936547,12961.8581725,4352.3088008222
"CV","AF",2006,4937.4652453698,8.50460737027216,17899.3234178698,4603.8339082307
"CV","AF",2007,5665.6693668459,8.64218032479545,23564.9927847157,4937.4652453698
"CV","AF",2008,6030.7712019103,8.70463017572428,29595.763986626,5665.6693668459
"CV","AF",2009,5941.1252096258,8.68965382364717,35536.8891962518,6030.7712019103
"CV","AF",2010,6004.9470972085,8.70033892468485,41541.8362934603,5941.1252096258
"CV","AF",2011,6205.6623958375,8.73321744388915,47747.4986892978,6004.9470972085
"CV","AF",2012,6233.5220603384,8.73769679077586,53981.0207496362,6205.6623958375
"CY","AS",2003,28994.8503195024,10.2748735180107,28994.8503195024,NA
"CY","AS",2004,29524.5644216793,10.2929778880924,58519.4147411817,28994.8503195024
"CY","AS",2005,29949.2711130542,10.3072602664546,88468.6858542359,29524.5644216793
"CY","AS",2006,30589.2111462732,10.3284026488514,119057.897000509,29949.2711130542
"CY","AS",2007,31689.8291204126,10.3637510604462,150747.726120922,30589.2111462732
"CY","AS",2008,32462.4967457859,10.3878407557257,183210.222866708,31689.8291204126
"CY","AS",2009,31644.7434413266,10.3623273297765,214854.966308034,32462.4967457859
"CY","AS",2010,30918.5320107966,10.3391110245625,245773.498318831,31644.7434413266
"CY","AS",2011,30260.2052614127,10.3175887705782,276033.703580244,30918.5320107966
"CY","AS",2012,29087.3674874249,10.2780592519465,305121.071067668,30260.2052614127
"CZ","EU",2003,22810.4437821144,10.0349737706838,22810.4437821144,NA
"CZ","EU",2004,23931.6958267275,10.0829590445314,46742.1396088419,22810.4437821144
"CZ","EU",2005,25438.226420422,10.1440082988454,72180.3660292639,23931.6958267275
"CZ","EU",2006,27113.9743608146,10.207804533032,99294.3403900785,25438.226420422
"CZ","EU",2007,28446.6944709083,10.2557872454899,127741.034860987,27113.9743608146
"CZ","EU",2008,28976.537221722,10.2742417201819,156717.572082709,28446.6944709083
"CZ","EU",2009,27416.9074953547,10.218915163946,184134.479578064,28976.537221722
"CZ","EU",2010,27964.5533079508,10.2386930338741,212099.032886014,27416.9074953547
"CZ","EU",2011,28454.8250154308,10.2560730214991,240553.857901445,27964.5533079508
"CZ","EU",2012,28185.3298468362,10.2465569033685,268739.187748281,28454.8250154308
"DE","EU",2003,37433.1258203059,10.5303113085072,37433.1258203059,NA
"DE","EU",2004,37883.313221588,10.5422660097261,75316.4390418939,37433.1258203059
"DE","EU",2005,38172.650078807,10.5498745716449,113489.089120701,37883.313221588
"DE","EU",2006,39633.5370817691,10.5874309348328,153122.62620247,38172.650078807
"DE","EU",2007,40984.2345617477,10.6209427488544,194106.860764218,39633.5370817691
"DE","EU",2008,41494.256821569,10.6333103068003,235601.117585787,40984.2345617477
"DE","EU",2009,39254.1677136377,10.5778129013604,274855.285299424,41494.256821569
"DE","EU",2010,40922.6091814828,10.6194379810211,315777.894480907,39254.1677136377
"DE","EU",2011,42380.9808015432,10.6544549745829,358158.87528245,40922.6091814828
"DE","EU",2012,43266.1666451899,10.6751262377805,401425.04192764,42380.9808015432
"DJ","AF",2003,2150.4924456769,7.6734521393959,2150.4924456769,NA
"DJ","AF",2004,2201.6086722892,7.69694358681611,4352.1011179661,2150.4924456769
"DJ","AF",2005,2239.7762347761,7.71413124466999,6591.8773527422,2201.6086722892
"DJ","AF",2006,2314.619058383,7.74700039936565,8906.4964111252,2239.7762347761
"DJ","AF",2007,2398.7173404711,7.78268943200092,11305.2137515963,2314.619058383
"DJ","AF",2008,2502.0973540921,7.8248846007783,13807.3111056884,2398.7173404711
"DJ","AF",2009,2589.5815599931,7.85925158179316,16396.8926656815,2502.0973540921
"DJ","AF",2010,2665.3517384568,7.88809131230233,19062.2444041383,2589.5815599931
"DJ","AF",2011,2767.0488012368,7.92553661650773,21829.2932053751,2665.3517384568
"DJ","AF",2012,2807.0359107558,7.93988436956676,24636.3291161309,2767.0488012368
"DK","EU",2003,41500.2390513831,10.6334544664765,41500.2390513831,NA
"DK","EU",2004,42485.4718747492,10.6569174582313,83985.7109261323,41500.2390513831
"DK","EU",2005,43401.1283451089,10.6782407184858,127386.839271241,42485.4718747492
"DK","EU",2006,44901.1492755345,10.7122186697398,172287.988546776,43401.1283451089
"DK","EU",2007,45071.0037759542,10.7159943869245,217358.99232273,44901.1492755345
"DK","EU",2008,44485.2723373732,10.7029134546647,261844.264660103,45071.0037759542
"DK","EU",2009,41996.5729812923,10.6453432982529,303840.837641395,44485.2723373732
"DK","EU",2010,42489.9143152533,10.6570220165206,346330.751956649,41996.5729812923
"DK","EU",2011,42802.8597975712,10.6643601970379,389133.61175422,42489.9143152533
"DK","EU",2012,42362.7049308699,10.6540236534573,431496.31668509,42802.8597975712
"DM","AN",2003,8554.104163942,9.05416646593296,8554.104163942,NA
"DM","AN",2004,8798.5923264965,9.08234702477274,17352.6964904385,8554.104163942
"DM","AN",2005,8763.7860557473,9.07838328870439,26116.4825461858,8798.5923264965
"DM","AN",2006,9172.4610983644,9.12396091510454,35288.9436445502,8763.7860557473
"DM","AN",2007,9713.1638939457,9.18123734692884,45002.1075384959,9172.4610983644
"DM","AN",2008,10425.0682440069,9.25196859283329,55427.1757825028,9713.1638939457
"DM","AN",2009,10289.4241111085,9.23887186138328,65716.5998936113,10425.0682440069
"DM","AN",2010,10374.9826008959,9.24715266807541,76091.5824945072,10289.4241111085
"DM","AN",2011,10332.5256113498,9.24305202510043,86424.108105857,10374.9826008959
"DM","AN",2012,10148.5593198255,9.2250870354622,96572.6674256825,10332.5256113498
"DO","AN",2003,8170.0083726235,9.00822521265444,8170.0083726235,NA
